Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
SLR_Contrived_Data,1,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01904182042E7,4.0,1.0,2.25,2.25,100.0,100.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,4.4999999999999996E-5,1.4999999999999999E-5,0.045,0.015,480.0,1050.0,915.0,NaN,NaN,?
SLR_Contrived_Data,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.01904182042E7,4.0,1.0,0.5000000058333329,0.5000000058333329,22.222222481481463,22.222222481481463,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,3.1E-4,2.6E-5,0.31,0.026,4322.0,1050.0,915.0,NaN,NaN,?
