pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
LTT 1445 A,b,LTT 1445 A b,Transit,0,1,5.35882,0.03807,0.19,89.4,0.00692,Mass,0.123,4.4,0,0,0,0,03h01m51.39s,45.464111,-16d35m36.1s,-16.593372,6.87,6.87,11.22,V (Johnson),10.047,3337,0.26,0.28,8/15/19,Transiting Exoplanet Survey Satellite (TESS)
LTT 3780,b,LTT 3780 b,Transit,0,2,0.768448,0.01211,0,87.1,0.00824,Mass,0.119,6.1,0,0,0,0,10h18m34.78s,154.644917,-11d43m04.08s,-11.7178,21.98,22,13.07,V (Johnson),11.846,3331,0.4,0.37,6/4/20,Transiting Exoplanet Survey Satellite (TESS)
LTT 3780,c,LTT 3780 c,Transit,0,2,12.2519,0.07673,0.06,89.18,0.02706,Mass,0.205,3.9,0,0,0,0,10h18m34.78s,154.644917,-11d43m04.08s,-11.7178,21.98,22,13.07,V (Johnson),11.846,3331,0.4,0.37,6/4/20,Transiting Exoplanet Survey Satellite (TESS)
LTT 9779,b,LTT 9779 b,Transit,0,1,0.792052,0.01679,0,76.39,0.09225,Mass,0.421,1.536,0,0,0,0,23h54m40.21s,358.667542,-37d37m40.5s,-37.627926,80.62,80.62,9.758,V (Johnson),9.6,5443,0.77,0.95,9/24/20,Transiting Exoplanet Survey Satellite (TESS)
LkCa 15,b,LkCa 15 b,Imaging,1,2,,14.7,,50,,,,,0,0,0,2,04h39m17.80s,69.824148,+22d21m03.5s,22.350967,158.87,158.87,12.025,V (Johnson),11.589,,,,12/3/15,Large Binocular Telescope Observatory
LkCa 15,c,LkCa 15 c,Imaging,1,2,,18.6,,50,,,,,0,0,0,1,04h39m17.80s,69.824148,+22d21m03.5s,22.350967,158.87,158.87,12.025,V (Johnson),11.589,,,,12/3/15,Large Binocular Telescope Observatory
Lupus-TR-3,b,Lupus-TR-3 b,Transit,0,1,3.91405,0.0464,0,88.3,0.81,Mass,0.89,1.4,0,0,0,0,15h30m18.62s,232.577571,-42d58m47.7s,-42.979908,2000,729.76,,,18.765,5000,0.87,0.82,5/14/14,Multiple Observatories
MASCARA-1,b,MASCARA-1 b,Transit,0,1,2.14878,0.043,0,87,3.7,Mass,1.5,1.5,0,0,0,0,21h10m12.37s,317.551544,+10d44m19.9s,10.738873,188.7,183.21,8.273,V (Johnson),8.242,7554,1.72,2.1,11/2/17,Multiple Observatories
MASCARA-4,b,MASCARA-4 b,Transit,0,1,2.82406,0.047,0,88.5,3.1,Mass,1.53,,0,0,0,0,09h50m19.20s,147.58,-66d06m49.89s,-66.113858,171.54,171.54,8.19,V (Johnson),8.174,7800,1.75,1.92,3/19/20,Multiple Observatories
MOA-2007-BLG-192L,b,MOA-2007-BLG-192L b,Microlensing,0,1,,0.62,,,0.01,Mass,,,0,0,0,0,18h08m03.80s,272.015825,-27d09m00.3s,-27.150075,1000,,,,,,0.06,,10/29/14,MOA
